name,year,movie_rated,run_length,genres,release_date,rating,num_raters,num_reviews,Jimmy Approved
Ford v Ferrari,2019,PG-13,2h 32min,Action; Biography; Drama; ,15 November 2019 (USA),8.1,232004,1265,0
Dog Day Afternoon,1975,R,2h 5min,Biography; Crime; Drama; ,25 December 1975 (USA),8.0,229265,321,1
Walk the Line,2005,PG-13,2h 16min,Biography; Drama; Music; ,18 November 2005 (USA),7.8,227982,897,1
Sully,2016,PG-13,1h 36min,Biography; Drama; ,9 September 2016 (USA),7.4,226801,477,0
The Greatest Showman,2017,PG,1h 45min,Biography; Drama; ,20 December 2017 (USA),7.6,222573,1796,1
Gandhi,1982,PG,3h 11min,Biography; Drama; History; ,25 February 1983 (USA),8.0,214287,298,1
The Elephant Man,1980,PG,2h 4min,Biography; Drama; ,10 October 1980 (USA),8.1,212720,416,0
Ip Man,2008,R,1h 46min,Action; Biography; Drama; ,12 December 2008 (China),8.0,206556,210,0
Lion,2016,PG-13,1h 58min,Biography; Drama; ,6 January 2017 (USA),8.0,204274,546,0
BlacKkKlansman,2018,R,2h 15min,Biography; Crime; Drama; ,10 August 2018 (USA),7.5,199225,841,1
Butch Cassidy and the Sundance Kid,1969,PG,1h 50min,Biography; Crime; Drama; ,24 September 1969 (USA),8.0,198267,425,1
The Sound of Music,1965,G,2h 52min,Biography; Drama; ,1 April 1965 (USA),8.0,197238,482,0
Finding Neverland,2004,PG,1h 46min,Biography; Drama; ,17 December 2004 (USA),7.7,195635,656,1
Remember the Titans,2000,PG,1h 53min,Biography; Drama; Sport; ,29 September 2000 (USA),7.8,193009,452,1
Everest,2015,PG-13,2h 1min,Action; Adventure; Biography; ,25 September 2015 (USA),7.1,191623,335,0
Hidden Figures,2016,PG,2h 7min,Biography; Drama; History; ,6 January 2017 (USA),7.8,191159,500,0
Straight Outta Compton,2015,R,2h 27min,Biography; Drama; History; ,14 August 2015 (USA),7.9,174973,385,1
Cinderella Man,2005,PG-13,2h 24min,Biography; Drama; History; ,3 June 2005 (USA),8.0,172730,595,1
Jarhead,2005,R,2h 5min,Action; Biography; Drama; ,4 November 2005 (USA),7.0,172053,695,0
The Last King of Scotland,2006,R,2h 3min,Biography; Drama; History; ,19 January 2007 (USA),7.7,172012,371,0
"I, Tonya",2017,R,1h 59min,Biography; Comedy; Drama; ,19 January 2018 (USA),7.5,170713,472,1
War Dogs,2016,R,1h 54min,Biography; Comedy; Crime; ,19 August 2016 (USA),7.1,170314,215,0
Erin Brockovich,2000,R,2h 11min,Biography; Drama; ,17 March 2000 (USA),7.3,169430,525,1
The Assassination of Jesse James by the Coward Robert Ford,2007,R,2h 40min,Biography; Crime; Drama; ,19 October 2007 (USA),7.5,164772,466,1
Black Mass,2015,R,2h 3min,Biography; Crime; Drama; ,18 September 2015 (USA),6.9,163703,335,1
Darkest Hour,2017,PG-13,2h 5min,Biography; Drama; ,22 December 2017 (USA),7.4,163237,629,0
Ed Wood,1994,R,2h 7min,Biography; Comedy; Drama; ,7 October 1994 (USA),7.8,162359,460,1
Milk,2008,R,2h 8min,Biography; Drama; ,30 January 2009 (USA),7.5,161721,310,0
The Favourite,2018,R,1h 59min,Biography; Comedy; Drama; ,21 December 2018 (USA),7.5,160787,1196,1
Alexander,2004,R,2h 55min,Action; Biography; Drama; ,24 November 2004 (USA),5.6,159847,1430,1
"Girl, Interrupted",1999,R,2h 7min,Biography; Drama; ,14 January 2000 (USA),7.3,159130,418,0
The Danish Girl,2015,R,1h 59min,Biography; Drama; Romance; ,22 January 2016 (USA),7.1,158324,289,1
The Insider,1999,R,2h 37min,Biography; Drama; Thriller; ,5 November 1999 (USA),7.8,156188,546,1
First Man,2018,PG-13,2h 21min,Biography; Drama; History; ,12 October 2018 (USA),7.3,155735,1305,1
Legend,2015,R,2h 12min,Biography; Crime; Drama; ,20 November 2015 (USA),6.9,152203,266,0
American Made,2017,R,1h 55min,Action; Biography; Comedy; ,29 September 2017 (USA),7.2,151699,332,1
In the Name of the Father,1993,R,2h 13min,Biography; Drama; ,25 February 1994 (USA),8.1,151362,184,1
Steve Jobs,2015,R,2h 2min,Biography; Drama; ,23 October 2015 (USA),7.2,149109,409,0
Saving Mr. Banks,2013,PG-13,2h 5min,Biography; Comedy; Drama; ,20 December 2013 (USA),7.5,148154,354,0
Invictus,2009,PG-13,2h 14min,Biography; Drama; History; ,11 December 2009 (USA),7.3,146805,277,0
Dangal,2016,Not Rated,2h 41min,Action; Biography; Drama; ,21 December 2016 (USA),8.4,144657,385,0
Unbroken,2014,PG-13,2h 17min,Biography; Drama; Sport; ,25 December 2014 (USA),7.2,141388,429,1
Ray,2004,PG-13,2h 32min,Biography; Drama; Music; ,29 October 2004 (USA),7.7,135305,460,1
Monster,2003,R,1h 49min,Biography; Crime; Drama; ,30 January 2004 (USA),7.3,131859,568,1
Foxcatcher,2014,R,2h 14min,Biography; Drama; Sport; ,16 January 2015 (USA),7.0,131687,335,1
The Disaster Artist,2017,R,1h 44min,Biography; Comedy; Drama; ,8 December 2017 (USA),7.4,131444,395,1
Molly's Game,2017,R,2h 20min,Biography; Crime; Drama; ,5 January 2018 (USA),7.4,130955,356,1
Snowden,2016,R,2h 14min,Biography; Crime; Drama; ,16 September 2016 (USA),7.3,130626,240,0
Joy,2015,PG-13,2h 4min,Biography; Drama; ,25 December 2015 (USA),6.6,124767,328,1
Seven Years in Tibet,1997,PG-13,2h 16min,Adventure; Biography; Drama; ,10 October 1997 (USA),7.1,123376,147,1
"Good Morning, Vietnam",1987,R,2h 1min,Biography; Comedy; Drama; ,15 January 1988 (USA),7.3,122643,155,0
Capote,2005,R,1h 54min,Biography; Crime; Drama; ,3 February 2006 (USA),7.3,122624,448,1
Coach Carter,2005,PG-13,2h 16min,Biography; Drama; Sport; ,14 January 2005 (USA),7.3,122245,237,1
Tombstone,1993,R,2h 10min,Action; Biography; Drama; ,25 December 1993 (USA),7.8,122041,502,1
Man on the Moon,1999,R,1h 58min,Biography; Comedy; Drama; ,22 December 1999 (USA),7.4,121652,572,1
Spartacus,1960,PG-13,3h 17min,Adventure; Biography; Drama; ,17 November 1960 (Brazil),7.9,120924,319,0
Rocketman,2019,R,2h 1min,Biography; Drama; Music; ,31 May 2019 (USA),7.3,120434,944,1
Guardians of the Galaxy,2014,PG-13,2h 1min,Comedy; ,1 August 2014 (USA),8.0,1017578,1390,0
Back to the Future,1985,PG,1h 56min,Comedy; ,3 July 1985 (USA),8.5,1015437,1178,1
Finding Nemo,2003,G,1h 40min,Comedy; ,30 May 2003 (USA),8.1,922237,968,1
Up,2009,PG,1h 36min,Comedy; ,29 May 2009 (USA),8.2,905205,891,1
The Truman Show,1998,PG,1h 43min,Comedy; ,5 June 1998 (USA),8.1,901368,1152,1
Deadpool,2016,R,1h 48min,Comedy; ,12 February 2016 (USA),8.0,876235,1440,1
Toy Story,1995,G,1h 21min,Comedy; ,22 November 1995 (USA),8.3,858390,606,1
"Monsters, Inc.",2001,G,1h 32min,Comedy; ,2 November 2001 (USA),8.0,789914,681,1
Snatch,2000,R,1h 42min,Comedy; ,19 January 2001 (USA),8.3,761777,837,0
Toy Story 3,2010,G,1h 43min,Comedy; ,18 June 2010 (USA),8.3,735087,884,1
The Intouchables,2011,R,1h 52min,Comedy; ,13 July 2012 (India),8.5,731286,622,1
The Big Lebowski,1998,R,1h 57min,Comedy; ,6 March 1998 (USA),8.1,706193,1225,0
The Hangover,2009,R,1h 40min,Comedy; ,5 June 2009 (USA),7.7,702442,718,0
Amélie,2001,R,2h 2min,Comedy; Romance; ,8 February 2002 (USA),8.3,686825,1481,0
The Grand Budapest Hotel,2014,R,1h 39min,Comedy; ,28 March 2014 (USA),8.1,682068,865,0
Silver Linings Playbook,2012,R,2h 2min,Comedy; Romance; ,25 December 2012 (USA),7.7,648078,836,1
Ratatouille,2007,G,1h 51min,Comedy; ,29 June 2007 (USA),8.0,620481,741,0
Life Is Beautiful,1997,PG-13,1h 56min,Comedy; Romance; ,12 February 1999 (USA),8.6,600633,1318,1
Shrek,2001,PG,1h 30min,Comedy; ,18 May 2001 (USA),7.8,596584,1063,0
Inside Out,2015,PG,1h 35min,Comedy; ,19 June 2015 (USA),8.1,587091,1027,1
Kingsman: The Secret Service,2014,R,2h 9min,Comedy; ,13 February 2015 (USA),7.7,576034,936,1
Groundhog Day,1993,PG,1h 41min,Comedy; Romance; ,12 February 1993 (USA),8.0,566305,769,1
Birdman or (The Unexpected Virtue of Ignorance),2014,R,1h 59min,Comedy; ,14 November 2014 (USA),7.7,561924,1379,1
Ted,2012,R,1h 46min,Comedy; ,29 June 2012 (USA),6.9,559723,658,1
Thor: Ragnarok,2017,PG-13,2h 10min,Comedy; ,3 November 2017 (USA),7.9,557789,1578,0
Frozen,2013,PG,1h 42min,Comedy; ,27 November 2013 (USA),7.4,557363,1110,1
Ant-Man,2015,PG-13,1h 57min,Comedy; ,17 July 2015 (USA),7.3,549225,718,1
Guardians of the Galaxy Vol. 2,2017,PG-13,2h 16min,Comedy; ,5 May 2017 (USA),7.6,544505,1044,0
"Lock, Stock and Two Smoking Barrels",1998,R,1h 47min,Comedy; ,28 August 1998 (UK),8.2,521113,582,1
Kick-Ass,2010,R,1h 57min,Comedy; ,16 April 2010 (USA),7.6,515837,845,1
Toy Story 2,1999,G,1h 32min,Comedy; ,24 November 1999 (USA),7.9,511333,611,0
Superbad,2007,R,1h 53min,Comedy; ,17 August 2007 (USA),7.6,508483,655,1
Zombieland,2009,R,1h 28min,Comedy; ,2 October 2009 (USA),7.6,507445,712,0
Men in Black,1997,PG-13,1h 38min,Comedy; ,2 July 1997 (USA),7.3,504085,344,1
21 Jump Street,2012,R,1h 49min,Comedy; ,16 March 2012 (USA),7.2,499686,401,1
Shaun of the Dead,2004,R,1h 39min,Comedy; ,24 September 2004 (USA),7.9,499316,971,1
Despicable Me,2010,PG,1h 35min,Comedy; ,9 July 2010 (USA),7.6,488655,360,1
Monty Python and the Holy Grail,1975,PG,1h 31min,Comedy; ,6 December 1979 (India),8.2,488567,774,1
Once Upon a Time... in Hollywood,2019,R,2h 41min,Comedy; ,26 July 2019 (USA),7.7,488535,5064,1
La La Land,2016,PG-13,2h 8min,Comedy; ,25 December 2016 (USA),8.0,483017,1774,0
Juno,2007,PG-13,1h 36min,Comedy; ,25 December 2007 (USA),7.4,481757,925,1
American Psycho,2000,R,1h 41min,Comedy; ,14 April 2000 (USA),7.6,468059,1258,0
Back to the Future Part II,1989,PG,1h 48min,Comedy; ,22 November 1989 (USA),7.8,462540,414,1
500 Days of Summer,2009,PG-13,1h 35min,Comedy; Romance; ,7 August 2009 (USA),7.7,461834,601,1
