Film,Year,Script Type,Primary Genre,Genres,Distributor,Rotten Tomatoes Audience ,Rotten Tomatoes Critics,Metacritic Critics,Average Critics,Metacritic Audience,Opening Weekend ($),Opening Weekend ($million),Domestic Gross,Domestic Gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million),Budget ($million),Budget Recovered (Percentage),Budget Recovered Opening Weekend (Percentage)
(500) Days of Summer ,2009,original screenplay,nan,"comedy, romance",nan,81,87,76,82,79,3800000,3.8,32390000,32.39,28.33,28330000,60720000,60.72,7.5,809.6,50.67
10 Cloverfield Lane,2016,sequel,nan,thriller,nan,79,90,76,83,77,24727437,24.73,72082999,72.08,36.2,36203423,108286422,108.29,15,722,164.85
12 Rounds ,2009,original screenplay,nan,"action, crime, thriller",nan,52,30,38,34,49,5300000,5.3,12230000,12.23,5.05,5050000,17280000,17.28,20,86.4,26.5
12 Strong,2018,adaptation,nan,drama,nan,64,53,54,54,63,15815025,15.8,45500164,46,22,21533253,67033417,670,35,191.52,45.19
12 Years a Slave,2013,adaptation,nan,"Biography, Drama, History",nan,90,96,97,97,80,923715,0.92,56671993,56.67,131.06,131061209,187733202,188,20,938.67,4.62
127 Hours,2010,adaptation,nan,"adventure, biography",nan,84,93,82,88,79,2130000,2.13,18330000,18.33,42.4,42400000,60730000,60.73,18,337.39,11.83
13 Hours: The Secret Soldiers of Benghazi,2016,based on a true story,nan,Drama,nan,83,50,48,49,68,16194738,16.19,52853219,52.85,16.56,16558151,69411370,69.41,50,139,32.39
17 Again ,2009,original screenplay,nan,"comedy, romance",nan,70,55,48,52,60,23700000,23.7,64200000,64.2,72.1,72100000,136300000,136.3,20,681.5,118.5
1917,2020,original screenplay,drama,nan,Universal Pictures,88,89,78,83,83,36500000,36.5,159227644,159.2,229.9,229912796,389140440,389.1,100,389.14,36.5
2 Guns,2013,adaptation,nan,"Action, Drama, Thriller, Comedy, Crime ",nan,67,64,55,60,66,27059130,27.06,75612460,75.61,56.33,56327951,131940411,132,61,216.3,44.36
2012,2009,original screenplay,nan,"action, adventure, sci-fi",nan,63,39,49,44,54,65300000,65.3,166120000,166.12,603.57,603570000,769690000,769.69,200,384.85,32.65
21 Bridges,2019,original screenplay,nan,thriller,STX Entertainment,91,50,51,51,62,9261268,9.3,20676747,20.7,2.7,2730000,23406747,23.4,33,70.93,28.18
21 Jump Street,2012,adaptation,nan,"action, comedy, crime",nan,82,85,69,77,75,36302612,36.3,138447667,138.45,63.14,63137661,201585328,202,42,479.97,86.43
21 and Over,2013,original screenplay,nan,Comedy,nan,47,27,34,31,54,8754168,8.75,25682380,25.68,22.38,22383292,48383672,48,13,372.18,67.34
22 Jump Street,2014,adaptation,nan,"action, comedy, crime",nan,78,85,71,78,74,57071445,57.07,191719337,191.72,139.61,139614539,331333876,331,50,662.67,114.14
3 Days to Kill,2014,original screenplayÃ,nan,"action, drama, thriller, crimeÃ",nan,44,28,40,34,57,12242218,12.24,30697999,30.7,21.9,21900000,52597999,53,28,187.85,43.72
30 Days of Night,2007,adaptation,horror,horror,nan,56,50,53,52,65,15951902,15.95,39568996,39.57,35.53,35526091,75095087,75,32,234.67,49.85
30 Days of Night,2007,adaptation,horror,horror,nan,56,50,53,52,65,15951902,15.95,39568996,39.57,35.53,35526091,75095087,75,32,234.67,49.85
30 Minutes or Less,2011,original screenplay,nan,"action, comedy, crime",nan,48,43,49,46,56,13330000,13.33,37050000,37.05,3.49,3490000,40540000,40.54,28,144.79,47.61
300,2007,adaptation,action,"period, action",nan,89,60,51,56,71,70885301,70.89,210614939,210.61,245.45,245453242,456068181,456,65,701.64,109.05
300,2007,adaptation,action,"period, action",nan,89,60,51,56,71,70885301,70.89,210614939,210.61,245.45,245453242,456068181,456,65,701.64,109.05
300: Rise of An Empire,2014,sequel,nan,"action, drama, fantasy, war",nan,53,42,48,45,61,45038460,45.04,106580051,106.58,231,231000000,337580051,338,110,306.89,40.94
3:10 to Yuma,2007,remake,western,western,nan,86,88,76,82,73,14035033,14.04,53606916,53.61,16.17,16173815,69780731,70,50,139.56,28.07
3:10 to Yuma,2007,remake,western,western,nan,86,88,76,82,73,14035033,14.04,53606916,53.61,16.17,16173815,69780731,70,50,139.56,28.07
42,2013,based on a true story,nan,"Biography, Drama, Sport",nan,86,79,62,71,74,27487144,27.49,95020213,95.02,0,0,95020213,95,40,237.55,68.72
47 Meters Down,2017,original screenplay,nan,"horror, thriller",nan,37,54,52,53,46,11205561,11.21,44307192,44.31,0,0,44307192,44.31,5.5,805.59,203.74
47 Meters Down: Uncaged,2019,sequel,nan,thriller,Entertainment Studios,68,42,43,43,55,8427265,8.4,22260900,22.3,17.6,17649616,39910516,39.9,12,332.59,70
47 Ronin,2013,original screenplay,nan,"Action, Adventure, Drama, Fantasy",nan,48,14,28,21,63,9910310,9.91,38362475,38.36,112.6,112600000,150962475,151,175,86.26,5.66
50/50,2011,based on a true story,nan,comedy,nan,93,93,72,83,81,8640000,8.64,35010000,35.01,4.17,4170000,39180000,39.18,8,489.75,108
9,2009,adaptation,nan,"animation, action, adventure",nan,58,57,60,59,67,10700000,10.7,31740000,31.74,16.67,16670000,48410000,48.41,30,161.37,35.67
A Bad Moms Christmas,2017,sequel,nan,comedy,nan,50,28,42,35,48,16759161,16.76,69585639,69.59,45.7,45700000,115285639,115.29,28,411.73,59.85
A Beautiful Day in the Neighbourhood,2019,original screenplay,nan,drama,Sony Pictures,91,95,80,88,71,13251238,13.3,37144754,37.1,0,0,37144754,37.1,25,148.58,53.2
A Christmas Carol,2009,adaptation,nan,"animation, comedy, family",nan,72,52,55,54,73,30100000,30.1,137900000,137.9,187.43,187430000,325330000,325.33,200,162.67,15.05
A Cure for Wellness,2017,original screenplay,nan,horror,nan,41,41,47,44,70,4356941,4.36,8106986,8.11,18.45,18452571,26559557,26.56,40,66.4,10.89
A Dangerous Method,2011,adaptation,nan,"biography, thriller",nan,89,79,76,78,62,170000,0.17,5700000,5.7,21.76,21760000,27460000,27.46,20,137.3,0.85
A Dog's Purpose,2017,adaptation,nan,"comedy, drama",nan,73,33,43,38,59,18222810,18.22,64321890,64.32,131.88,131878234,196200124,196.2,22,891.82,82.83
A Dog's Way Home,2019,adaptation,nan,"adventure, drama, family",Sony Pictures,73,62,50,56,51,11251263,11.3,42004346,42,33.1,33054369,75058715,75.1,18,416.99,62.78
A DogÃ¢ÂÂs Journey,2019,adaptation,nan,drama,Universal Pictures,92,50,43,47,70,8030085,8,22546590,22.5,49.2,49200000,71746590,71.7,22,326.12,36.36
A Good Day to Die Hard,2013,sequel,nan,"Action, Thriller, Crime",nan,41,14,28,21,47,24834845,24.83,67349198,67.35,237.3,237304984,304654182,305,92,331.15,26.99
A Haunted House,2013,original screenplay,nan,"Horror, Comedy",nan,51,10,20,15,51,18101682,18.1,40041683,40.04,20.1,20100000,60141683,60,3,2405.67,724.07
A Hidden Life,2019,based on a true story,nan,"biography, drama, romance",Fox Searchlight,71,83,79,81,88,50383,0.1,1015637,1,1,1015637,2031274,2,8,25.39,1.25
A Madea Family Funeral,2019,original screenplay,nan,"comedy, drama",Lionsgate,31,11,39,25,40,27062332,27.1,73257045,73.3,1.5,1524954,74781999,74.8,20,373.91,135.5
A Million Ways to Die in the West,2014,original screenplayÃ,nan,"comedy, western",nan,40,33,44,39,51,16797385,16.8,43139300,43.14,43.27,43268783,86408083,86,40,216.02,41.99
A Nightmare on Elm Street,2010,remake / reboot,nan,"horror, mystery, thriller",nan,40,13,35,24,53,32900000,32.9,63080000,63.08,52.59,52590000,115670000,115.67,35,330.49,94
A Perfect Getaway ,2009,original screenplay,nan,"adventure, mystery, thriller",nan,50,61,63,62,63,5900000,5.9,15500000,15.5,7.33,7330000,22830000,22.83,14,163.07,42.14
A Quiet Place,2018,original screenplay,nan,horror,nan,83,95,82,89,75,50203562,50.2,188024361,188,145,144559086,332583447,3326,17,1956.37,295.32
A Serious Man ,2009,original screenplay,nan,comedy,nan,64,89,79,84,66,250000,0.25,9230000,9.23,22.2,22200000,31430000,31.43,7,449,3.57
A Star is Born,2018,remake,nan,drama,nan,81,90,88,89,86,42908051,42.9,202110867,202,188,188000000,390110867,3901,36,1083.64,119.19
A United Kingdom,2017,based on a true story,nan,drama,nan,78,84,65,75,65,66510,0.07,3902185,3.9,9.92,9916954,13819139,13.82,14,98.71,0.48
A Very Harold and Kumar 3D Christmas,2011,sequel,nan,comedy,nan,71,72,61,67,66,12950000,12.95,35060000,35.06,0.33,330000,35390000,35.39,19,186.26,68.16
A Walk Among the Tombstones,2014,adaptation,nan,"action, drama, mystery, thriller",nan,54,66,57,62,66,12758780,12.76,26307600,26.31,26.87,26874000,53181600,53,28,189.93,45.57
A Walk in the Woods,2015,adaptation,nan,comedy,nan,57,46,51,49,53,8246267,8.25,29216212,29.22,5,5000000,34216212,34,8,427.7,103.08
A Wrinkle in Time,2018,adaptation,nan,adventure,nan,29,42,53,48,29,33123609,33.1,100478608,100,32,32197256,132675864,1327,125,106.14,26.5
Abduction,2011,original screenplay,nan,"action, mystery, thriller",nan,46,4,25,15,46,10930000,10.93,28090000,28.09,54,54000000,82090000,82.09,35,234.54,31.23
Abominable,2019,original screenplay,nan,adventure,Universal Pictures,95,80,61,71,57,20612100,20.6,60196485,60.2,116,116000000,176196485,176.2,75,234.93,27.47
About Last Night (2014),2014,adaptation,nan,"drama, comedy, romance",nan,66,68,62,65,61,25649011,25.65,48637684,48.64,0.37,365000,49002684,49,12.5,392.02,205.19
About Time,2013,original screenplay,nan,"Sci-Fi, Drama, Fantasy, Comedy, Romance",nan,81,69,55,62,82,1076250,1.08,15322921,15.32,71.78,71777528,87100449,87,12,725.84,8.97
Abraham Lincoln: Vampire Hunter,2012,adaptation,nan,"action, fantasy, horror",nan,51,35,42,39,59,16306974,16.31,37519139,37.52,78.95,78952441,116471580,116,69,168.8,23.63
Absolutely Fabulous: The Movie,2016,adaptation,nan,Comedy,nan,48,60,59,59.5,44,1861118,1.86,4761241,4.76,32.51,32508768,37270009,37.27,37,101,5.03
Across the Universe,2007,original screenplay,musical,musical,nan,82,54,56,55,73,3824988,3.82,24343673,24.34,5.02,5023470,29367143,29,45,65.26,8.5
Across the Universe,2007,original screenplay,musical,musical,nan,82,54,56,55,73,3824988,3.82,24343673,24.34,5.02,5023470,29367143,29,45,65.26,8.5
Ad Astra,2019,original screenplay,nan,"thriller, sci-fi",20th Century Fox,40,84,80,82,62,19001398,19,50175123,50.2,77,76987552,127162675,127.2,90,141.29,21.11
Adrift,2018,based on a true story,nan,drama,nan,67,73,56,65,63,11603039,11.6,31445011,31,22,21900001,53345012,533,35,152.41,33.15
Adventureland ,2009,original screenplay,nan,"comedy, romance",nan,56,89,76,83,69,5700000,5.7,16040000,16.04,1.12,1120000,17160000,17.16,9.8,175.1,58.16
After,2019,original screenplay,nan,"drama, romance",Aviron Pictures,65,18,30,24,45,6002349,6,12138565,12.1,45.8,45788285,57926850,57.9,14,413.76,42.86
After Earth,2013,original screenplay,nan,"Action, Adventure, Sci-Fi, Mystery",nan,37,11,33,22,41,27520040,27.52,60522097,60.52,183.32,183321030,243843127,244,130,187.57,21.17
After We Collided,2020,adaptation,drama,nan,Open Road Films,93,12,14,14,48,1199425,1.2,2386483,2.4,40.9,40919909,43306392,43.3,14,309.33,8.57
Aladdin,2019,remake,nan,adventure,Walt Disney Studios,94,57,53,55,67,91500929,91.5,355559216,355.6,695.1,695134737,1050693953,1050.7,183,574.15,50
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,adaptation,nan,"comedy, family",nan,60,62,54,58,54,18360230,18.36,66954149,66.95,33.7,33700000,100654000,101,28,359.48,65.57
Alice Through the Looking Glass,2016,adaptation,nan,Adventure,nan,51,30,34,32,60,26858726,26.86,77042381,77.04,222.34,222335940,299378321,299.38,170,176,15.8
Alice in Wonderland,2010,adaptation,nan,"adventure, family, fantasy",nan,72,52,53,53,55,116100000,116.1,334190000,334.19,691.28,691280000,1025470000,1025.47,200,512.74,58.05
Alien vs. Predator - Requiem,2007,sequel,sci-fi,"sci-fi, horror",nan,31,14,29,22,45,10059425,10.06,41797066,41.8,87.09,87086650,128883716,129,40,322.21,25.15
Alien vs. Predator - Requiem,2007,sequel,sci-fi,"sci-fi, horror",nan,31,14,29,22,45,10059425,10.06,41797066,41.8,87.09,87086650,128883716,129,40,322.21,25.15
Alien: Covenant,2017,sequel,nan,"sci-fi, horror",nan,56,68,65,67,60,36160621,36.16,74262031,74.26,166.48,166483733,240745764,240.75,97,248.19,37.28
Aliens in the Attic ,2009,original screenplay,nan,"adventure, comedy, family",nan,46,30,42,36,52,8000000,8,25200000,25.2,32.68,32680000,57880000,57.88,45,128.62,17.78
Alita: Battle Angel,2019,adaptation,nan,"action, adventure, romance",20th Century Fox,94,60,54,57,88,28525613,28.5,85316378,85.3,316.4,316393320,401709698,401.7,170,236.3,16.76
All About Steve ,2009,original screenplay,nan,comedy,nan,35,6,17,12,41,11200000,11.2,33860000,33.86,6.26,6260000,40120000,40.12,15,267.47,74.67
All Eyez on Me,2017,based on a true story,nan,drama,nan,54,18,38,28,42,26435354,26.44,44922302,44.92,0,0,44922302,44.92,40,112.31,66.09
All Saints,2017,original screenplay,nan,drama,nan,78,93,63,78,56,1514278,1.51,5802208,5.8,0.14,140357,5942565,5.94,2,297.13,75.71
Allied,2016,original screenplay,nan,"romance, thriller",nan,68,61,60,60.5,63,12701743,12.7,39675535,40,48.93,48927686,88603221,88.6,85,104,14.94
Almost Christmas,2016,original screenplay,nan,Drama,nan,72,50,55,52.5,57,15134235,15.13,15970925,15.97,0.29,290351,16261276,16.26,17,96,89.02
Aloha,2015,original screenplay,nan,"comedy, drama",nan,31,19,40,30,44,9670235,9.67,21067116,21.07,5.18,5182904,26250020,26,37,70.95,26.14
Alpha,2018,original screenplay,nan,adventure,nan,79,83,63,73,68,10352512,10.4,21083037,21,9,8752823,29835860,298,51,58.5,20.3
Alpha and Omega,2010,original screenplay,nan,"animation, adventure, comedy",nan,41,17,36,27,53,9100000,9.1,25110000,25.11,25.4,25400000,50510000,50.51,20,252.55,45.5
Alvin and the Chipmunks,2007,adaptation,comedy,"family, comedy",nan,65,26,39,33,55,44307417,44.31,217326974,217.33,143.14,143138914,360465888,360,70,514.95,63.3
Alvin and the Chipmunks,2007,adaptation,comedy,"family, comedy",nan,65,26,39,33,55,44307417,44.31,217326974,217.33,143.14,143138914,360465888,360,70,514.95,63.3
Alvin and the Chipmunks: The Road Chip,2015,adaptation,nan,"family, comedy",nan,52,16,33,25,37,14287159,14.29,85886987,85.89,148.91,148911649,234798636,235,90,260.89,15.87
Alvin and the Chipmunks: The Squeakquel ,2009,sequel,nan,"animation, comedy, family",nan,59,21,41,31,45,48800000,48.8,219500000,219.5,223,223000000,440700000,440.7,75,587.6,65.07
Ambulance,2022,nan,thriller,"action, mystery",Universal Pictures,88,69,55,62,56,8699630,8.7,22309115,22.3,29.5,29518755,51827870,51.8,40,129.57,21.75
Amelia ,2009,based on a true story,nan,"adventure, biography",nan,35,21,37,29,58,3900000,3.9,14250000,14.25,5.4,5400000,19200000,19.2,40,48,9.75
American Assassin,2017,adaptation,nan,"action, adventure",nan,64,34,45,40,60,14846778,14.85,36249674,36.25,29.92,29918277,66167951,66.17,33,200.51,44.99
American Gangster,2007,based on a true story,crime,"crime, drama",nan,87,80,76,78,75,43565135,43.57,130164645,130.16,137.74,137737769,267902414,268,100,267.9,43.57
American Gangster,2007,based on a true story,crime,"crime, drama",nan,87,80,76,78,75,43565135,43.57,130164645,130.16,137.74,137737769,267902414,268,100,267.9,43.57
American Hustle,2013,based on a true story,nan,"Drama, History, Thriller, Crime",nan,74,93,90,92,75,740455,1,150117807,150,101,101054000,251171807,251,40,627.93,1.85
American Made,2017,original screenplay,nan,"crime, thriller",nan,79,87,65,76,68,16776390,16.78,51338325,51.34,83.52,83524593,134862918,134.86,50,269.73,33.55
American Reunion,2012,sequel,nan,comedy,nan,63,44,49,47,69,21514080,21.51,57011521,57.01,177.98,177978063,234989584,235,50,469.98,43.03
American Sniper,2014,based on a true storyÃ,nan,"action, biography, drama, war",nan,86,73,72,73,66,89269066,89.27,348295276,348.3,193.4,193400000,541695276,542,59,918.13,151.3
American Ultra,2015,original screenplay,nan,"action, comedy",nan,51,45,50,48,64,5454284,5.45,14440985,14.44,1,1000000,15440985,15,28,55.15,19.48
Amsterdam,2022,nan,comedy,"drama, history, mystery, thriller",Walt Disney Studios Motion Pictures,62,32,48,40,52,6444896,6.4,14947969,14.9,14.5,14452857,29400826,29.4,80,36.75,8.06
An Education,2009,adaptation,nan,drama ,nan,78,94,85,90,79,760000,0.76,12570000,12.57,13.52,13520000,26090000,26.09,7.5,347.87,10.13
Anchorman 2: The Legend Continues,2013,sequel,nan,Comedy,nan,53,75,61,68,62,26232425,26.23,127352707,127.35,46.3,46296308,173649015,174,50,347.3,52.46
Angel Has Fallen,2019,sequel,nan,thriller,Lionsgate,93,39,45,42,66,21380987,21.4,69030436,69,64.3,64335016,133365452,133.4,40,333.41,53.5
Angels & Demons ,2009,sequel,nan,"mystery, thriller",nan,65,36,48,42,62,46200000,46.2,133400000,133.4,352.6,352600000,485900000,485.9,150,323.93,30.8
Anna,2019,original screenplay,nan,action,Summit Entertainment,81,36,40,38,64,3600647,3.6,7743794,7.7,23.2,23174932,30918726,30.9,30,103.06,12
Anna Karenina,2012,adaptation,nan,drama,nan,51,63,63,63,65,320690,0.32,12816367,12.82,56.11,56112783,68929150,69,31,222.35,1.03
Annabelle,2014,sequel,nan,horror,nan,38,29,37,33,53,37134255,37.13,84273813,84.27,171,171000000,255273813,255,6.5,3927.29,571.3
Annabelle Comes Home,2019,sequel,nan,horror,Warner Bros. Pictures,70,64,53,59,62,20269723,20.3,74152591,74.2,154.4,154400000,228552591,228.6,30,761.84,67.67
Annabelle: Creation,2017,prequel,nan,horror,nan,68,69,62,66,68,35006404,35.01,102092201,102.09,203.7,203700000,305792201,305.79,15,2038.61,233.38
Annie (2014),2014,adaptation,nan,"drama, comedy, family, musical",nan,62,27,33,30,48,15861939,15.86,85911262,85.91,47.91,47910554,133821816,134,65,205.88,24.4
Anonymous,2011,original screenplay,nan,"history, thriller",nan,66,46,50,48,62,1020000,1.02,4460000,4.46,10.93,10930000,15390000,15.39,30,51.3,3.4
Another Earth,2011,original screenplay,nan,sci-fi ,nan,74,63,66,65,72,80000,0.08,1320000,1.32,0.45,450000,1770000,1.77,0.2,885,40
Ant-Man,2015,adaptation,nan,"action, adventure",nan,89,80,64,72,80,57225526,57.23,179267303,179.27,334.5,334500000,513767303,514,130,395.21,44.02
Ant-Man and the Wasp,2018,sequel,nan,action,nan,80,88,70,79,74,75812205,75.8,211630916,212,333,333301651,544932567,5449,195,279.45,38.88
Apollo 18,2011,original screenplay,nan,"horror, sci-fi, thriller",nan,31,23,24,24,47,8700000,8.7,17690000,17.69,7.88,7880000,25570000,25.57,5,511.4,174
Arbitrage,2012,original screenplay,nan,thriller,nan,63,87,73,80,70,2002165,2,7919574,7.92,27.57,27565482,35485056,35,12,295.71,16.68
Arctic,2019,original screenplay,nan,"adventure, drama",Bleecker Street,87,89,71,80,63,50878,0.1,2409826,2.41,1,1395666,3805492,38,2,190.27,2.54
Arctic Dogs (a.k.a. Polar Squad),2019,original screenplay,nan,adventure,Entertainment Studios,60,14,28,21,21,2901335,2.9,5667265,5.7,1,956170,6623435,6.6,50,13.25,5.8
Argo,2012,based on a true story,nan,"biography, history",nan,90,96,86,91,79,19458109,19.46,136025503,136.03,96.3,96300000,232325503,232,45,516.28,43.24
Armageddon Time,2022,nan,drama,-,Universal Pictures,48,75,74,75,66,70275,0.1,1860050,1.9,4.7,4695609,6555659,6.6,15,43.7,0.47
Armored ,2009,original screenplay,nan,"action, crime, thriller",nan,34,40,50,45,54,6500000,6.5,15990000,15.99,6.95,6950000,16000000,16,20,80,32.5
Arrival,2016,adaptation,nan,Drama,nan,82,93,81,87,81,24074047,24.07,25943101,25.94,21.99,21993825,47936926,47.94,47,102,51.22
Arthur,2011,remake / reboot,nan,"comedy, romance",nan,49,26,36,31,50,12220000,12.22,33040000,33.04,12.7,12700000,45740000,45.74,40,114.35,30.55
Arthur Christmas,2011,original screenplay,nan,"animation, comedy, family",nan,82,92,69,81,74,12070000,12.07,46460000,46.46,100.95,100950000,147410000,147.41,150,98.27,8.05
Assassin's Creed,2016,adaptation,nan,Action,nan,60,17,36,26.5,69,10278225,10.28,43883438,44,44.9,44896328,88779766,88.78,125,71,8.22
Astro Boy ,2009,adaptation,nan,"animation, action, family",nan,53,49,53,51,62,6700000,6.7,19550000,19.55,20.34,20340000,39890000,39.89,65,61.37,10.31
Atomic Blonde,2017,adaptation,nan,thriller,nan,65,76,63,70,66,18286420,18.29,51573925,51.57,44.1,44100000,95673925,95.67,30,318.91,60.95
August: Osage County,2013,adaptation,nan,"Drama, Comedy",nan,66,64,58,61,70,179302,0.18,37738810,37.74,36.45,36450127,74188937,74,25,296.76,0.72
Avatar ,2009,original screenplay,nan,"action, adventure, fantasy",nan,92,83,83,83,75,77000000,77,760500000,760.5,2021,2021000000,2781500000,2781.5,237,1173.63,32.49
Avengers: Age of Ultron,2015,"sequel, adaptation",nan,"action, adventure",nan,85,74,66,70,70,191271109,191.27,459005868,459.01,943.8,943800000,1402805868,1403,250,561.12,76.51
Avengers: Endgame,2019,adaptation,nan,action,Walt Disney Studios,90,94,78,86,78,357115007,357.1,858373000,858.4,1939.4,1939427564,2797800564,2797.8,356,785.9,100.31
Avengers: Infinity War,2018,sequel,nan,action,nan,91,83,68,76,85,257698183,257.7,678690536,679,1367,1367467024,2046157560,20462,321,637.04,80.23
Away We Go ,2009,original screenplay,nan,"comedy, romance",nan,74,67,58,63,67,130000,0.13,9450000,9.45,5.44,5440000,14890000,14.89,21,70.9,0.62
Baby Driver,2017,original screenplay,nan,"action, crime",nan,86,93,86,90,79,20553320,20.55,107825862,107.83,119.12,119119225,226945087,226.95,34,667.49,60.45
Babylon,2022,nan,comedy,"drama, history",Paramount Pictures,52,57,61,59,70,3603368,3.6,15351455,15.4,47.9,47911183,63262638,63.3,110,57.51,3.28
Bad Boys for Life,2020,original screenplay,action,nan,Sony Pictures,96,76,59,68,66,62594105,63,206305244,206.3,220,220200000,426505244,426.5,90,473.89,70
Bad Moms,2016,original screenplay,nan,Comedy,nan,67,59,60,59.5,50,23817340,23.82,113257297,113.26,66.1,66100000,179357297,179.36,20,897,119.09
Bad Santa 2,2016,original screenplay,nan,Comedy,nan,40,23,38,30.5,53,6176680,6.18,17743394,18,5.44,5443315,23186709,23.19,26,89,23.76
Bad Teacher,2011,original screenplay,nan,comedy,nan,38,44,47,46,51,31600000,31.6,100290000,100.29,115.9,115900000,216190000,216.19,20,1080.95,158
Bad Times at the El Royale,2018,original screenplay,nan,thriller,nan,75,74,60,67,74,7132647,7.1,17839115,18,14,13777762,31616877,316,32,98.8,22.29
Bandslam ,2009,original screenplay,nan,"comedy, family, music",nan,60,79,66,73,69,2200000,2.2,5200000,5.2,7.01,7010000,12100000,12.1,20,60.5,11
Barbarian,2022,nan,thriller,horror/mystery,20th Century Studios,71,92,78,85,74,10543948,10.5,40842944,40.8,4.5,4509393,45352337,45.4,4.5,1007.83,234.31
Barbershop: The Next Cut,2016,sequel,nan,Comedy,nan,68,90,67,78.5,60,20242415,20.24,54030051,54.03,1,1000000,55030051,55.03,20,275,101.21
Batman v Superman: Dawn of Justice,2016,sequel,nan,Action,nan,64,27,44,35.5,70,166007347,166.01,330360194,330.36,542.9,542900000,873260194,873.26,250,349,66.4
Battle of the Sexes,2017,based on a true story,nan,sports,nan,76,86,73,80,59,518332,0.52,12626314,12.63,0,0,12626314,12.63,25,50.51,2.07
Battle: Los Angeles,2011,based on a true story,nan,"action, adventure, sci-fi",nan,50,35,37,36,58,35570000,35.57,83550000,83.55,128.27,128270000,211820000,211.82,70,302.6,50.81
Battleship,2012,original screenplay,nan,"action, adventure, sci-fi",nan,55,34,41,38,56,25534825,25.53,65422625,65.42,237.6,237602860,303025485,303,209,144.99,12.22
Baywatch,2017,adaptation,nan,"action, comedy",nan,56,18,37,28,45,18503871,18.5,58060186,58.06,119.8,119796565,177856751,177.86,69,257.76,26.82
Beast,2022,nan,thriller,"mystery, adventure",Universal Pictures,77,68,54,61,48,11575855,11.6,31846530,31.8,27.3,27321809,59168339,59.2,36,164.36,32.16
Beastly,2011,adaptation,nan,"fantasy, romance",nan,50,19,40,30,54,9850000,9.85,27870000,27.87,15.3,15300000,43170000,43.17,17,253.94,57.94
Beasts of the Southern Wild,2012,adaptation,nan,fantasy,nan,76,86,86,86,74,169702,0.17,12795746,12.8,9,9000000,12795755,13,2,639.79,8.49
Beautiful Creatures,2013,adaptation,nan,"Drama, Fantasy, Romance",nan,54,46,52,49,61,7582595,7.58,19452138,19.45,40.6,40600000,60052138,60,60,100.09,12.64
Beauty and the Beast,2017,adaptation,nan,fantasy,nan,81,71,65,68,68,174750616,174.75,504014165,504.01,759.51,759506961,1263521126,1263.52,160,789.7,109.22
Bee Movie,2007,original screenplay,animation,animation,nan,53,52,54,53,64,38021044,38.02,126631277,126.63,160.49,160492289,287123566,287,150,191.42,25.35
Bee Movie,2007,original screenplay,animation,animation,nan,53,52,54,53,64,38021044,38.02,126631277,126.63,160.49,160492289,287123566,287,150,191.42,25.35
Before I Fall,2017,adaptation,nan,drama,nan,57,63,58,61,62,4690214,4.69,12241122,12.24,0,0,12241122,12.24,5,244.82,93.8
Beginners,2011,based on a true story,nan,"comedy, romance",nan,80,84,81,83,73,140000,0.14,5790000,5.79,8.52,8520000,14310000,14.31,3.2,447.19,4.38
Ben-Hur,2016,adaptation,nan,Drama,nan,61,25,38,31.5,45,11203815,11.2,26410477,26.41,67.65,67650834,94061311,94.06,100,94,11.2
Beowulf,2007,original screenplay,animation,animation,nan,50,71,59,65,63,27515871,27.52,82195215,82.2,114.07,114068876,196264091,196,150,130.84,18.34
Beowulf,2007,original screenplay,animation,animation,nan,50,71,59,65,63,27515871,27.52,82195215,82.2,114.07,114068876,196264091,196,150,130.84,18.34
Big Eyes,2014,based on a true storyÃ,nan,drama,nan,70,72,62,67,75,3001738,3,14482031,14.48,14.77,14771135,29253166,29,10,292.53,30.02
Big Hero 6,2014,adaptation,nan,"action, adventure, sci-fi, comedy, animation, family",nan,92,89,74,82,80,56215889,56.22,222431643,222.43,429.6,429600000,652031643,652,165,395.17,34.07
Big Miracle,2012,adaptation,nan,romance,nan,64,74,61,68,59,7760205,7.76,20157300,20.16,4.56,4561915,24719215,25,40,61.8,19.4
Big Stone Gap,2015,adaptation,nan,"romance, comedy",nan,75,35,39,37,50,362422,0,1009301,1,0,0,1009301,1,3.5,28.84,10.35
Bill & Ted Face the Music,2020,original screenplay,adventure,nan,Orion Pictures,65,82,65,74,60,1125007,1.1,3439660,3.4,2.8,2834367,6274027,6.2,25,25.1,4.4
Birdman,2014,original screenplayÃ,nan,"drama, comedy",nan,79,93,88,91,79,424397,0.42,42340598,42.34,60.87,60874496,103215094,103,18,573.42,2.36
Birds of Prey,2020,original screenplay,action,nan,Warner Bros. Pictures,78,78,60,69,31,33010017,33,84158461,84.2,116.8,116847091,201005552,201,143.2,140.37,23.04
Birth of the Dragon,2017,original screenplay,nan,action,nan,72,23,35,29,45,2702430,2.7,6901965,6.9,0,0,6901965,6.9,31,22.26,8.72
BlacKkKlansman,2018,based on a true story,nan,"thriller, suspense",nan,79,95,83,89,76,10845330,10.8,32316575,32,9,9325905,41642480,416,15,277.62,72.3
Black Adam,2022,nan,action,"adventure, sci-fi, fantasy",Warner Bros. Pictures,89,39,41,40,72,67004323,67,168152111,168.2,223.1,223109595,391261706,391.3,200,195.63,33.5
