Film,Year,Script Type,Primary Genre,Genres,Distributor,Rotten Tomatoes Audience ,Rotten Tomatoes Critics,Metacritic Critics,Average Critics,Metacritic Audience,Opening Weekend ($),Opening Weekend ($million),Domestic Gross,Domestic Gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million),Budget ($million),Budget Recovered (Percentage),Budget Recovered Opening Weekend (Percentage)
The Reaping,2007,original screenplay,nan,horror,nan,49,9,36,23,63,10025203,10.03,25126214,25.13,37.64,37644845,62771059,63,40,156.93,25.06
The Reaping,2007,original screenplay,nan,horror,nan,49,9,36,23,63,10025203,10.03,25126214,25.13,37.64,37644845,62771059,63,40,156.93,25.06
The Rental,2020,original screenplay,thriller,nan,IFC Films,47,74,62,68,56,403852,0.4,1637548,1.6,2.3,2339286,3976834,3.97,3.5,113.62,11.43
The Revenant,2016,original screenplay,nan,Adventure,nan,84,82,76,79,80,39826840,40,183637894,183.64,349.31,349312609,532950503,532.95,135,395,29.5
The Rhythm Section,2020,adaptation,action,nan,Paramount Pictures,44,28,45,37,41,2715384,2.7,5437971,5.4,0.5,545072,5983043,6,50,11.97,5.4
The Rite,2011,adaptation,nan,"horror, thriller",nan,43,20,38,29,53,14800000,14.8,33050000,33.05,63,63000000,96050000,96.05,37,259.59,40
The Road ,2009,adaptation,nan,adventure,nan,65,75,64,70,75,1500000,1.5,8120000,8.12,19.51,19510000,27630000,27.63,25,110.52,6
The Roommate,2011,original screenplay,nan,"horror, thriller",nan,29,4,23,14,39,15000000,15,37300000,37.3,3.19,3190000,40490000,40.49,16,253.06,93.75
The Rum Diary,2011,adaptation,nan,comedy,nan,48,50,56,53,65,5140000,5.14,13110000,13.11,10.84,10840000,23950000,23.95,45,53.22,11.42
The Runaways,2010,adaptation,nan,"biography, music",nan,56,68,65,67,71,800000,0.8,3570000,3.57,1.11,1110000,4680000,4.68,10,46.8,8
The Second Best Exotic Marigold Hotel,2015,sequel,nan,"comedy, drama",nan,62,63,51,57,61,8540370,8.54,33078266,33.08,52.9,52900000,85978266,86,10,859.78,85.4
The Secret Life of Pets,2016,original screenplay,nan,Adventure,nan,64,74,61,67.5,60,104352905,104.35,367226855,367.23,505.53,505525621,872752476,872.75,75,1164,139.14
The Secret Life of Pets 2,2019,sequel,nan,adventure,Universal Pictures,90,59,55,57,61,46652680,46.7,158257265,158.3,271.2,271176898,429434163,429.4,80,536.79,58.38
The Secret Life of Walter Mitty,2013,"adaptation, remake / reboot",nan,"Adventure, Drama, Fantasy, Comedy",nan,70,50,54,52,74,12765508,12.77,58236838,58.24,129.9,129896484,188133322,188,90,209.04,14.18
The Shack,2017,adaptation,nan,drama,nan,78,20,32,26,52,16172119,16.17,57386418,57.39,39.56,39555697,96942115,96.94,20,484.71,80.86
The Shallows,2016,original screenplay,nan,Drama,nan,60,78,59,68.5,65,16800868,16.8,55121623,55.12,63.98,63976715,119098338,119.1,17,701,98.83
The Simpsons Movie,2007,adaptation,nan,animation,nan,77,90,80,85,76,74036787,74.04,183135014,183.14,343.93,343932723,527067737,527,75,702.76,98.72
The Simpsons Movie,2007,adaptation,nan,animation,nan,77,90,80,85,76,74036787,74.04,183135014,183.14,343.93,343932723,527067737,527,75,702.76,98.72
The Sitter,2011,original screenplay,nan,comedy,nan,43,22,39,31,52,9850000,9.85,30441000,30.44,4.5,4500000,34941000,34.94,25,139.76,39.4
The Smurfs,2011,adaptation,nan,"animation, adventure, comedy",nan,50,23,30,27,44,35610000,35.61,142610000,142.61,421.14,421140000,563750000,563.75,110,512.5,32.37
The Smurfs 2,2013,sequel,nan,"Fantasy, Comedy, Animation, Family",nan,57,14,34,24,35,17548389,17.55,71017784,71.02,276.53,276527576,347545360,348,105,331,16.71
The Snowman,2017,adaptation,nan,thriller,nan,21,8,23,16,32,3372565,3.37,6670765,6.67,36,36000000,42670765,42.67,35,121.92,9.64
The Social Network,2010,based on a true story,nan,biography ,nan,89,96,95,96,82,22400000,22.4,96960000,96.96,127.96,127960000,224920000,224.92,50,449.84,44.8
The Soloist ,2009,based on a true story,nan,"biography, music",nan,59,56,61,59,69,9700000,9.7,31700000,31.7,6.61,6610000,38310000,38.31,60,63.85,16.17
The Sorcerer's Apprentice,2010,adaptation,nan,"action, adventure, comedy",nan,57,42,46,44,62,17600000,17.6,63150000,63.15,152.13,152130000,215280000,215.28,150,143.52,11.73
The Space Between Us,2017,original screenplay,nan,"sci-fi, adventure",nan,55,16,33,25,44,3775596,3.78,7885294,7.89,6.91,6908091,14793385,14.79,30,49.31,12.59
The Spectacular Now,2013,adaptation,nan,"Drama, Comedy, Romance",nan,76,93,82,88,81,197415,0,6854611,7,0,69980,6854611,7,3,274.18,7.9
The SpongeBob Movie: Sponge Out of Water,2015,adaptation,nan,animation,nan,55,78,62,70,67,55365012,55.37,162994032,162.99,152.95,152951000,315945032,316,74,426.95,74.82
The Spy Next Door,2010,original screenplay,nan,"action, comedy, family",nan,46,13,27,20,47,9700000,9.7,24310000,24.31,20.93,20930000,45240000,45.24,43,105.21,22.56
The Spy Who Dumped Me,2018,original screenplay,nan,comedy,nan,71,50,52,51,56,12103043,12.1,32392119,32,20,20140198,52532317,525,40,131.33,30.26
The Star,2017,original screenplay,nan,animation,nan,75,43,42,43,60,9812674,9.81,33324147,33.32,9.39,9392726,42716873,42.72,20,213.58,49.06
The Stepfather,2009,remake / reboot,nan,"crime, mystery",nan,48,12,33,23,57,11600000,11.6,29100000,29.1,2.13,2130000,31200000,31.2,20,156,58
The Strangers: Prey at Night,2018,sequel,nan,horror,nan,36,38,48,43,54,10402271,10.4,24431472,24,0,155236,24586708,246,5,491.73,208.05
The Sun is Also a Star,2019,adaptation,nan,drama,Warner Bros. Pictures,64,51,52,52,59,2511530,2.5,4950029,5,1.7,1700000,6650029,6.7,9,73.89,27.78
