State,County,City/Town,Zipcode,Area Type,2022 Population,Unemployment(%),2022 Median Income ($),Cost of Living ($),2016 Crime Rate,Air Quality Index (%),Number of National Parks,Area Covered by State Parks (%),Student to Teacher Ratio Rank,Diversity Rank (Race),Diversity Rank (Gender)
CT,Tolland County,Stafford Springs,6076,42-Rural: Distant,150293,3.9,116581.72,93605.17,0.005,84.99,0,0.0,2285,2497,2694
CT,Windham County,Willimantic,6226,31-Town: Fringe,116418,4.5,85219.38,78937.62,0.004,84.99,0,0.0,2362,2397,2641
CT,New London County,Jewett City,6351,41-Rural: Fringe,268805,4.41,93953.55,87516.22,0.012,84.99,0,0.0,2714,2419,2881
CT,New Haven County,Derby,6418,21-Suburb: Large,863700,4.5,92875.39,88957.67,0.027,84.99,0,0.0,2939,3019,3063
CT,Hartford County,Southington,6489,21-Suburb: Large,896854,4.45,98193.32,86269.51,0.025,84.99,0,0.0,2958,3023,3079
CT,Middlesex County,Westbrook,6498,21-Suburb: Large,164759,3.76,112971.4,95499.08,0.012,84.99,0,0.0,2408,2538,2691
CT,Litchfield County,Bridgewater,6752,41-Rural: Fringe,185000,4.01,104093.46,85104.82,0.01,84.99,0,0.0,2518,2772,2792
CT,Fairfield County,Norwalk,6851,13-City: Small,959768,4.32,121937.65,104217.94,0.016,84.99,0,0.0,2956,3047,3074
NJ,Middlesex County,Avenel,7001,21-Suburb: Large,861418,3.46,110023.38,94346.09,0.014,83.74,0,0.0,2924,3058,3050
NJ,Essex County,South Orange,7079,21-Suburb: Large,849477,4.72,82683.12,90801.25,0.023,83.74,0,0.0,2946,3071,3085
NJ,Hudson County,Secaucus,7094,21-Suburb: Large,703366,3.76,78058.29,94387.86,0.018,83.74,0,0.0,2871,3007,2990
NJ,Union County,Elizabeth,7202,21-Suburb: Large,569815,4.03,97479.68,94236.27,0.021,83.74,0,0.0,2908,3027,3037
NJ,Passaic County,Ringwood,7456,41-Rural: Fringe,513936,4.8,84069.33,91901.81,0.02,83.74,0,0.0,2869,3035,3031
NJ,Bergen County,Paramus,7652,21-Suburb: Large,952997,3.47,126280.09,101852.34,0.01,83.74,0,0.0,2954,3082,3089
NJ,Monmouth County,Asbury Park,7712,21-Suburb: Large,644098,3.42,128125.3,96851.86,0.015,83.74,0,0.0,2838,3025,3038
NJ,Warren County,Oxford,7863,41-Rural: Fringe,110926,3.58,103354.15,84593.86,0.012,83.74,0,0.0,2060,2232,2628
NJ,Sussex County,Sparta,7871,41-Rural: Fringe,146084,3.83,112331.69,101070.91,0.009,83.74,0,0.0,2236,2609,2772
NJ,Morris County,Morristown,7960,21-Suburb: Large,511151,3.13,145432.45,107287.33,0.009,83.74,0,0.0,2808,3013,3022
NJ,Camden County,Hammonton,8037,21-Suburb: Large,524907,4.18,90951.12,80346.28,0.028,83.74,0,0.0,2855,2954,3005
NJ,Burlington County,Mount Holly,8060,21-Suburb: Large,466103,3.44,108317.83,89436.03,0.016,83.74,0,0.0,2825,2921,2997
NJ,Salem County,Penns Grove,8069,21-Suburb: Large,65117,4.83,89635.75,81946.68,0.019,83.74,0,0.0,2099,2129,2556
NJ,Gloucester County,Pitman,8071,21-Suburb: Large,306601,3.81,108492.38,86015.12,0.019,83.74,0,0.0,2669,2662,2880
NJ,Ocean County,Tuckerton,8087,31-Town: Fringe,655735,3.85,92438.98,98270.48,0.012,83.74,0,0.0,2786,2938,2965
NJ,Cape May County,Cape May Court House,8210,41-Rural: Fringe,95634,6.94,85940.2,88056.83,0.032,83.74,0,0.0,1730,2236,2507
