Country﻿,1990,Forest Area(sq km. thousands),Number threatened Mammals,Number threatened Birds,% of total land area that is protected,% of territorial waters that are protected
Palau,0,0,4,6,44.2,100
Panama,46,42,17,25,31.4,26.8
Papua New Guinea,364,358,41,39,3.7,0.1
Paraguay,255,158,10,27,14.3,..
Peru,764,722,53,119,22.5,8
Philippines,78,72,38,93,15.9,1.7
Poland,89,95,4,11,39.6,22.6
Portugal,34,33,13,15,22.9,16.9
Puerto Rico,3,5,2,11,7.4,1.8
Qatar,0,0,4,9,15.8,2.3
Romania,64,69,9,17,24.5,23.1
Russian Federation,"8,090","8,153",34,57,11.5,2.2
Rwanda,3,3,24,20,9.1,..
Samoa,2,2,2,6,8.2,0.1
San Marino,0,0,0,0,..,..
Sao Tome and Principe,1,1,4,12,29.3,0
Saudi Arabia,10,10,11,18,4.8,2.5
Senegal,93,80,19,19,26.4,1.9
Serbia,..,27,6,13,8.1,..
Seychelles,0,0,6,13,61.5,32.8
Sierra Leone,31,25,22,16,12.7,1.6
Singapore,0,0,14,22,5.6,0
Sint Maarten (Dutch part),..,0,2,1,0.7,8.7
Slovak Republic,19,19,4,12,37.6,..
Slovenia,12,12,6,10,40.4,2.3
Solomon Islands,25,25,19,24,2,0.1
Somalia,83,59,16,21,0,0
South Africa,181,170,30,54,9.3,15.5
South Sudan,..,72,14,21,15.5,..
Spain,139,186,17,19,28.1,12.8
Sri Lanka,24,21,30,16,29.9,0.1
St. Kitts and Nevis,0,0,2,3,22.9,4
St. Lucia,0,0,2,7,18.7,0.2
St. Martin (French part),..,0,2,1,12.8,96.4
St. Vincent and the Grenadines,0,0,2,4,22.4,0.2
Sudan,307,182,16,26,2.3,16
Suriname,154,152,9,9,14.5,1.5
Sweden,281,280,1,11,15.4,15.8
Switzerland,12,13,3,9,12.1,..
Syrian Arab Republic,4,5,14,17,0.7,0.2
Tajikistan,4,4,7,15,22.3,..
Tanzania,574,453,41,49,38.4,3
Thailand,194,198,59,62,18.5,4.4
Timor-Leste,10,9,5,6,16,1.4
Togo,14,12,13,13,28,0.2
Tonga,0,0,2,5,12.6,0.1
Trinidad and Tobago,2,2,2,5,30.6,0
Tunisia,6,7,14,11,7.9,1
Turkiye,198,224,19,20,7,1.8
Turkmenistan,41,41,10,19,3.2,3
Turks and Caicos Islands,0,0,2,4,44.4,0.1
Tuvalu,0,0,2,1,13.2,0
Uganda,36,23,31,30,16.1,..
Ukraine,93,97,11,17,13,9.2
United Arab Emirates,2,3,8,13,19.4,11.5
United Kingdom,28,32,5,11,27.8,44.1
United States,"3,025","3,098",40,91,13,19
Uruguay,8,21,10,22,3.7,0.8
Uzbekistan,26,37,10,19,5.8,..
Vanuatu,4,4,8,8,4.2,0
"Venezuela, RB",520,462,35,52,56.9,4.4
Viet Nam,94,147,56,52,7.6,0.6
Virgin Islands (U.S.),0,0,1,3,14.4,0.9
West Bank and Gaza,0,0,4,15,8.4,..
"Yemen, Rep.",5,5,11,16,0.8,0.5
Zambia,474,446,13,20,41.3,..
Zimbabwe,188,174,10,19,27.2,..
