,Land area (sq. km),Forest area (% of land area)
Thailand,"510,890.00",38.83
Timor-Leste,"14,870.00",61.85
Togo,"54,390.00",22.18
Tonga,720,12.43
Trinidad and Tobago,"5,130.00",44.4
Tunisia,"155,360.00",4.53
Turkiye,"769,630.00",29.07
Turkmenistan,"469,930.00",8.78
Turks and Caicos Islands,950,11.07
Tuvalu,30,33.33
Uganda,"200,520.00",11.45
Ukraine,"579,400.00",16.73
United Arab Emirates,"71,020.00",4.47
United Kingdom,"241,930.00",13.22
United States,"9,147,420.00",33.87
Uruguay,"175,020.00",11.72
Uzbekistan,"440,653.00",8.43
Vanuatu,"12,190.00",36.28
"Venezuela, RB","882,050.00",52.35
Viet Nam,"313,429.00",46.96
Virgin Islands (U.S.),350,57.31
West Bank and Gaza,"6,025.00",1.68
"Yemen, Rep.","527,970.00",1.04
Zambia,"743,390.00",60.03
Zimbabwe,"386,850.00",44.97
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
